TIME_PERIOD,OBS_VALUE,indic,geo
2015-03-01,-25.0,Construction confidence indicator,Bulgaria
2015-06-01,-21.8,Construction confidence indicator,Bulgaria
2015-09-01,-26.7,Construction confidence indicator,Bulgaria
2015-12-01,-26.2,Construction confidence indicator,Bulgaria
2016-03-01,-24.0,Construction confidence indicator,Bulgaria
2016-06-01,-21.8,Construction confidence indicator,Bulgaria
2016-09-01,-15.5,Construction confidence indicator,Bulgaria
2016-12-01,-15.3,Construction confidence indicator,Bulgaria
2017-03-01,-14.0,Construction confidence indicator,Bulgaria
2017-06-01,-19.1,Construction confidence indicator,Bulgaria
2017-09-01,-11.9,Construction confidence indicator,Bulgaria
2017-12-01,-11.7,Construction confidence indicator,Bulgaria
2018-03-01,-9.8,Construction confidence indicator,Bulgaria
2018-06-01,-11.0,Construction confidence indicator,Bulgaria
2018-09-01,-9.1,Construction confidence indicator,Bulgaria
2018-12-01,-7.6,Construction confidence indicator,Bulgaria
2019-03-01,-8.1,Construction confidence indicator,Bulgaria
2019-06-01,-7.1,Construction confidence indicator,Bulgaria
2019-09-01,-5.1,Construction confidence indicator,Bulgaria
2019-12-01,2.2,Construction confidence indicator,Bulgaria
2020-03-01,-5.3,Construction confidence indicator,Bulgaria
2020-06-01,-21.4,Construction confidence indicator,Bulgaria
2020-09-01,-17.4,Construction confidence indicator,Bulgaria
2010-06-01,-46.1,Construction confidence indicator,Cyprus
2010-09-01,-44.9,Construction confidence indicator,Cyprus
2010-12-01,-49.6,Construction confidence indicator,Cyprus
2011-03-01,-50.9,Construction confidence indicator,Cyprus
2011-06-01,-45.5,Construction confidence indicator,Cyprus
2011-09-01,-47.9,Construction confidence indicator,Cyprus
2011-12-01,-54.5,Construction confidence indicator,Cyprus
2012-03-01,-61.4,Construction confidence indicator,Cyprus
2012-06-01,-57.4,Construction confidence indicator,Cyprus
2012-09-01,-66.3,Construction confidence indicator,Cyprus
2012-12-01,-56.1,Construction confidence indicator,Cyprus
2013-03-01,-62.3,Construction confidence indicator,Cyprus
2013-06-01,-62.2,Construction confidence indicator,Cyprus
