ar_coefficients,repetition,horizon,method,error
0.3,3,0,flattened_forecast_error,58.11818861576666
0.3,3,1,flattened_forecast_error,29.942513255910587
0.3,4,0,flattened_forecast_error,34.37825006736342
0.3,4,1,flattened_forecast_error,30.20561318973387
0.3,5,0,flattened_forecast_error,33.81401599020355
0.3,5,1,flattened_forecast_error,14.755984969777222
0.3,6,0,flattened_forecast_error,10.896948022383427
0.3,6,1,flattened_forecast_error,2.391723323227682
0.3,7,0,flattened_forecast_error,17.016286932252104
0.3,7,1,flattened_forecast_error,17.571631569076995
0.3,8,0,flattened_forecast_error,48.054545817807586
0.3,8,1,flattened_forecast_error,16.69632029012264
0.3,9,0,flattened_forecast_error,62.35152413050564
0.3,9,1,flattened_forecast_error,8.720834783540692
0.3,10,0,flattened_forecast_error,62.157963005315324
0.3,10,1,flattened_forecast_error,46.001990396847084
0.3,11,0,flattened_forecast_error,16.76321487218778
0.3,11,1,flattened_forecast_error,24.383878555165513
0.3,12,0,flattened_forecast_error,42.34364232833976
0.3,12,1,flattened_forecast_error,32.55100282364542
0.3,13,0,flattened_forecast_error,16.031425684672964
0.3,13,1,flattened_forecast_error,16.96829990852431
0.3,14,0,flattened_forecast_error,12.09502471169534
0.3,14,1,flattened_forecast_error,33.65752710003521
0.3,15,0,flattened_forecast_error,7.774075070869715
0.3,15,1,flattened_forecast_error,19.12311410425121
0.3,16,0,flattened_forecast_error,30.858075330949706
0.3,16,1,flattened_forecast_error,55.32015835177792
0.3,17,0,flattened_forecast_error,44.63088520807993
0.3,17,1,flattened_forecast_error,44.26146062941472
0.3,18,0,flattened_forecast_error,61.95725219487704
0.3,18,1,flattened_forecast_error,38.22275686810911
0.3,19,0,flattened_forecast_error,43.20034508113943
0.3,19,1,flattened_forecast_error,32.78725530386372
0.3,20,0,flattened_forecast_error,21.655191126769903
0.3,20,1,flattened_forecast_error,36.2487565799826
0.3,21,0,flattened_forecast_error,15.695920182334536
0.3,21,1,flattened_forecast_error,13.707059548954867
0.3,22,0,flattened_forecast_error,25.184464133352954
0.3,22,1,flattened_forecast_error,17.319752380596057
0.3,23,0,flattened_forecast_error,7.054103668197816
0.3,23,1,flattened_forecast_error,37.78192903183962
0.3,24,0,flattened_forecast_error,18.97660411182026
0.3,24,1,flattened_forecast_error,40.45085110827557
0.3,25,0,flattened_forecast_error,83.53220621288519
0.3,25,1,flattened_forecast_error,48.68704211028266
0.3,26,0,flattened_forecast_error,17.621788666040903
0.3,26,1,flattened_forecast_error,12.563795233582876
0.3,27,0,flattened_forecast_error,24.865827017053295
0.3,27,1,flattened_forecast_error,28.74404115688255
0.3,28,0,flattened_forecast_error,57.352570757438635
0.3,28,1,flattened_forecast_error,15.661997025734507
0.3,29,0,flattened_forecast_error,33.50017222419072
0.3,29,1,flattened_forecast_error,26.968923942852413
0.3,30,0,flattened_forecast_error,33.79432177272236
0.3,30,1,flattened_forecast_error,10.674316411488258
0.3,31,0,flattened_forecast_error,56.71158377340521
0.3,31,1,flattened_forecast_error,28.837021446391827
0.3,32,0,flattened_forecast_error,6.444025259104943
0.3,32,1,flattened_forecast_error,59.02408808273993
0.3,33,0,flattened_forecast_error,13.819494255939968
0.3,33,1,flattened_forecast_error,29.326341623253782
0.3,34,0,flattened_forecast_error,2.640207641203278
0.3,34,1,flattened_forecast_error,32.828311813942925
0.3,35,0,flattened_forecast_error,28.912555591136435
0.3,35,1,flattened_forecast_error,18.630234983971135
0.3,36,0,flattened_forecast_error,14.668877101989482
0.3,36,1,flattened_forecast_error,28.980973812290674
0.3,37,0,flattened_forecast_error,24.550648420407573
0.3,37,1,flattened_forecast_error,13.276059940738483
0.3,38,0,flattened_forecast_error,19.65537656410898
0.3,38,1,flattened_forecast_error,17.134428743337196
0.3,39,0,flattened_forecast_error,40.327679295434706
0.3,39,1,flattened_forecast_error,37.63640490544519
0.3,40,0,flattened_forecast_error,23.921890228330042
0.3,40,1,flattened_forecast_error,46.17553479072891
0.3,41,0,flattened_forecast_error,28.00996635159492
0.3,41,1,flattened_forecast_error,16.340360317650916
0.3,42,0,flattened_forecast_error,64.04088000495219
0.3,42,1,flattened_forecast_error,9.831229890024895
0.3,43,0,flattened_forecast_error,27.47899811424631
0.3,43,1,flattened_forecast_error,34.956903233537986
0.3,44,0,flattened_forecast_error,28.261893057383674
0.3,44,1,flattened_forecast_error,11.029525750047492
0.3,45,0,flattened_forecast_error,67.8123839873285
0.3,45,1,flattened_forecast_error,13.228976124313627
0.3,46,0,flattened_forecast_error,24.877158782549294
0.3,46,1,flattened_forecast_error,5.209557296923525
0.3,47,0,flattened_forecast_error,109.71085954306221
0.3,47,1,flattened_forecast_error,57.222041927402984
0.3,48,0,flattened_forecast_error,22.993502854299603
0.3,48,1,flattened_forecast_error,23.960183835082272
0.3,49,0,flattened_forecast_error,29.65031150755954
0.3,49,1,flattened_forecast_error,20.308092439497912
0.5,0,0,flattened_forecast_error,21.976321865257425
0.5,0,1,flattened_forecast_error,25.510290030478394
0.5,1,0,flattened_forecast_error,99.11455436680542
0.5,1,1,flattened_forecast_error,65.34917537295902
0.5,2,0,flattened_forecast_error,25.858353918067102
0.5,2,1,flattened_forecast_error,78.06155757276527
0.5,3,0,flattened_forecast_error,32.6226586739375
0.5,3,1,flattened_forecast_error,22.46381391422015
0.5,4,0,flattened_forecast_error,33.96986874404273
0.5,4,1,flattened_forecast_error,32.496913247831785
0.5,5,0,flattened_forecast_error,22.96881247141053
0.5,5,1,flattened_forecast_error,52.220757193274366
0.5,6,0,flattened_forecast_error,33.75050281601927
0.5,6,1,flattened_forecast_error,54.85520115045236
0.5,7,0,flattened_forecast_error,58.155756647139995
0.5,7,1,flattened_forecast_error,50.13523557210649
0.5,8,0,flattened_forecast_error,16.34435458055361
0.5,8,1,flattened_forecast_error,22.231023347688637
0.5,9,0,flattened_forecast_error,6.623261789588357
0.5,9,1,flattened_forecast_error,9.436221771399067
0.5,10,0,flattened_forecast_error,28.565509496421853
0.5,10,1,flattened_forecast_error,39.73530336059902
0.5,11,0,flattened_forecast_error,27.00390550390374
0.5,11,1,flattened_forecast_error,23.557059025464095
0.5,12,0,flattened_forecast_error,23.66307904574206
0.5,12,1,flattened_forecast_error,25.81626030590545
0.5,13,0,flattened_forecast_error,48.02602160069782
0.5,13,1,flattened_forecast_error,32.03678094641288
0.5,14,0,flattened_forecast_error,54.770828784246575
0.5,14,1,flattened_forecast_error,11.447689627892778
0.5,15,0,flattened_forecast_error,55.54911731289887
0.5,15,1,flattened_forecast_error,35.35734719581066
0.5,16,0,flattened_forecast_error,72.50986942862798
0.5,16,1,flattened_forecast_error,50.265245274870395
0.5,17,0,flattened_forecast_error,44.567735370878644
0.5,17,1,flattened_forecast_error,77.8363288977682
0.5,18,0,flattened_forecast_error,92.46669934409135
0.5,18,1,flattened_forecast_error,53.58529763036678
0.5,19,0,flattened_forecast_error,42.19436385269023
0.5,19,1,flattened_forecast_error,25.816722101447496
0.5,20,0,flattened_forecast_error,41.29822473894334
0.5,20,1,flattened_forecast_error,22.447146953695785
0.5,21,0,flattened_forecast_error,24.76462137805628
0.5,21,1,flattened_forecast_error,20.844981539365396
0.5,22,0,flattened_forecast_error,25.982040082631976
0.5,22,1,flattened_forecast_error,43.306246329069296
0.5,23,0,flattened_forecast_error,7.6780538344114415
0.5,23,1,flattened_forecast_error,14.967162661839977
0.5,24,0,flattened_forecast_error,20.187065632860584
0.5,24,1,flattened_forecast_error,31.747325038836554
0.5,25,0,flattened_forecast_error,37.18563017198016
0.5,25,1,flattened_forecast_error,25.10862421296926
0.5,26,0,flattened_forecast_error,59.626472102641856
0.5,26,1,flattened_forecast_error,17.746377329899186
0.5,27,0,flattened_forecast_error,42.53009687120949
0.5,27,1,flattened_forecast_error,21.26955686277562
0.5,28,0,flattened_forecast_error,9.836042077806594
0.5,28,1,flattened_forecast_error,32.01345957624504
0.5,29,0,flattened_forecast_error,63.18072422135735
0.5,29,1,flattened_forecast_error,47.226641320706385
0.5,30,0,flattened_forecast_error,76.57610130873034
0.5,30,1,flattened_forecast_error,63.73510592015668
0.5,31,0,flattened_forecast_error,29.099934071622265
0.5,31,1,flattened_forecast_error,14.534217728977605
0.5,32,0,flattened_forecast_error,5.9849020130383215
0.5,32,1,flattened_forecast_error,51.14498601541085
